Investment_Name,Growth
Centers for Ocean Sciences Education Excellence ~,27.121001390820588
Broadening Participation in Computing (BPC),0.0
CISE Pathways to Revitalized Undergraduate Computing Education (CPATH),0.0
Opportunities for Enhancing Diversity in the Geosciences,61.23833757421543
Geoscience Education,40.510948905109494
Geoscience Teacher Training (GEO-Teach),0.0
Global Learning and Observations to Benefit the Environment (GLOBE),1.785714285714287
Graduate Research Fellowship Program (GRFP),40.8853044388352
Integrative Graduate Education and Research Traineeship (IGERT) Program,16.963713296576472
Graduate Teaching Fellows in K-12 Education (GK-12),7.205982324949018
East Asia & Pacific Summer Institutes for U.S. Graduate Students (EAPSI),-15.131578947368421
Undergraduate Research and Mentoring in the Biological Sciences (URM),-8.760683760683765
Advanced Technological Education (ATE),0.7521697203471563
Transforming Undergrad Education in STEM (TUES),8.761625061184528
Climate Change Education (CCE),100.0
Excellence Awards in Science and Engineering (EASE),-8.15533980582524
Federal Cyber Service: Scholarship for Service (SFS),23.588709677419363
Math and Science Partnership (MSP),44.330736132108385
Research Experiences for Undergraduates (REU),37.62317109584951
Robert Noyce Scholarship (Noyce) Program,52.1304347826087
"Science, Technology, Engineering, and Mathematics Talent Expansion Program (STEP)",-1.340666895840497
Polar Research and Education,5.371900826446277
International Research Experiences for Students (IRES),35.78199052132701
Enhancing the Mathematical Sciences Workforce in the 21st Century (EMSW21),27.792207792207783
Interdisciplinary Training for Undergraduates in Biological and Mathematical Sciences (UBM),14.39114391143912
Discovery Research K-12 (DR-K12),8.449405036435751
Research and Evaluation on Education in Science and Engineering (REESE),2.2065727699530626
Informal Science Education (ISE),1.9324406573341386
Nanotechnology Undergraduate Education in Engineering,46.0
Research Experiences for Teachers (RET) in Engineering and Computer Science,31.43350604490501
Engineering Education (EE),49.78165938864629
Alliances for Graduate Education and the Professoriate (AGEP),7.741559953434226
Tribal Colleges and Universities Program (TCUP),4.406273338312172
Historically Black Colleges and Universities Undergraduate Program (HBCU-UP),4.465146161259238
Louis Stokes Alliances for Minority Participation (LSAMP),4.776470588235297
Research in Disabilities Education (RDE),13.808139534883724
Cassini,8.705882352941172
Juno,51.943755169561626
LDCM,73.25538233110616
CP4SMP - Competitive Program for Science Museums and Planetariums,-11.428571428571425
NIEO - NASA Informal Education Opportunities,
Aeronautics Scholarship,0.0
Innovation in Aeronautics Instruction Competition,0.0
K-12 Competitive Grants Opportunity,10.769230769230772
HST,-5.4194506310319195
